application_id,occurences
8 30W002206,1
9 33C375513,1
9 33C393427,1
5S09W002320,4
4 19C381928,1
9 33C389952,1
2 48C395029,1
5S39W002272,1
5S34W002829,1
5F22C394161,1
4 19W004017,1
2 48C371563,1
5F10C394160,1
4 19W004013,1
3 43C379448,1
2 01C367331,1
5R32W002643,1
2 28C394340,1
4 19C373845,1
9 37W002436,1
8 30C369070,1
9 33C373326,1
4 19C379639,1
5F10C375633,1
5F10C385714,1
4 56C387868,1
6B36C393186,1
9 37C385674,1
4 19C366236,1
9 37C382027,1
9 37C382025,1
3 42C385507,1
2 43C369319,1
9 37C394595,1
9 33C372051,1
3 27C379697,1
8 36C393142,1
7 33W004139,1
9 37C393641,1
3 43C382350,1
9 37C388178,1
5S31C388082,1
9 37C388171,1
5F10C393599,1
9 33C388334,1
5F15W003306,1
5F15W003305,1
5S34C391919,2
8 33C386788,1
3 27C379346,1
4 19W004901,1
4 19C372462,1
5F15W002659,1
9 37C374307,1
9 37C378178,1
7 33C392685,1
9 37C378177,1
5F15C392835,1
5F10W005214,1
5F10W005210,1
5F10W005211,1
7 33C389209,1
9 37W004485,1
4 19C375857,1
4 19C375851,1
2 41C392488,1
8 36C385340,1
2 01C377921,1
5F10C394164,1
9 33C380143,1
8 33C385784,1
5S09C385493,1
9 33C380144,1
8 36C392231,1
5S39C392477,1
5S39C392476,1
8 36C384967,1
8 36C367302,1
8 36C367303,1
5R52C383989,1
6B19C376709,1
9 37C383082,1
8 30C394904,1
8 30C394905,1
8 33C381940,1
5F15W002048,1
8 33W003779,1
1 49C358977,1
3 35C389797,1
2 07C367949,1
4 19C373338,1
8 36C381033,1
7 33C390802,1
4 19C373336,1
4 19C373335,1
5F10C394168,1
9 37C364883,1
4 19C384133,1
4 19C384131,1
8 30C391999,1
5S57C378592,1
9 37C370439,1
5S39C372796,1
8 33C391047,4
7 33W003215,1
9 33C371834,1
2 07W004883,1
4 19C384687,1
4 19W002083,1
3 27C383513,1
2 01W002847,1
5S34C392492,1
5S50C393136,15
3 42C377629,1
8 36C382525,1
4 19W002333,1
5F20C394170,1
3 35C394395,1
8 33C384122,1
8 33C384126,1
5F54C373033,1
5S34C384620,1
5S34C384621,1
4 56C340640,1
5F10C391857,1
5S07C393188,1
5F15C385597,1
8 36C394308,1
5S34C391674,1
3 43C392618,1
5S58C383719,1
8 30W004971,1
5F15C388109,1
2 48C381506,1
5F10C383105,1
9 37C374533,1
3 40C382244,1
9 37C367515,1
5S31C394097,1
5S31C394093,1
2 21C388085,1
5S58C371457,1
2 01C376729,1
4 56W004957,1
4 19C376773,1
5S57C370929,1
4 19C377821,1
2 01C379718,1
5S34C371694,1
2 01C374767,1
4 19C387566,1
8 30C388692,1
9 30C391715,1
2 43C376625,1
8 30C372097,1
5F10C394990,1
8 33C376731,1
8 36C377064,1
4 19C376199,1
9 30C378428,1
7 33C363602,1
9 37C369052,1
2 07W004316,1
5S57W004940,1
2 01C369148,1
5S31C395326,1
4 19C382424,1
4 19C382423,1
4 19C382420,1
8 36W004327,1
4 19C381197,1
5S31C392677,1
5S31C392676,1
4 19C381193,1
8 33C372396,1
8 30C388039,1
5S51C395011,1
8 30C388037,1
8 33C372399,1
8 33C394082,1
7 33C395001,1
2 41C372350,1
9 37C374256,1
7 33C383538,1
8 30C383783,1
4 19C388366,1
5S34C369790,1
7 33C393277,1
1 23W003318,1
1 23W003312,1
1 23W003317,1
3 40CN602732,1
3 40C392199,1
2 41W004876,1
5S57C381217,1
8 36C379503,1
8 36C379502,1
1 49C394207,1
5F24W002336,1
5F20W003839,1
9 37C374873,1
9 37C389341,1
6B15C376339,1
2 07C384975,1
8 36C376885,1
8 36C376884,1
2 48C394331,1
6A31C377735,1
8 33C395028,1
2 01C393518,1
5R04C370787,1
4 19C369222,1
4 19C369220,1
5S48C393654,1
5F15C371836,1
5S58C382102,1
2 01C387845,1
8 33C391648,1
5S57C384069,1
5S34C374911,1
2 01W002106,1
2 01W002104,1
8 36C374776,1
8 36C374773,1
5S39C345229,1
5F10W003147,1
5F10C387885,1
5F54C385081,1
5F10W004494,1
2 01C387591,1
8 33C365807,1
9 33C377639,1
4 56C375353,1
4 56C370959,1
5S09C392092,4
5S34C371984,1
2 01C392648,1
5S50C380710,1
2 28C370798,1
5F54C374090,3
5F54W002481,1
5F54W002484,1
5R04W004122,1
3 40C386223,1
5S31C379601,1
9 37C392993,1
5F15W004153,1
5F15W004151,1
2 43W002852,1
8 36C387128,1
8 36C387129,1
5R11C372327,1
8 36C387126,1
8 30C383204,1
5S39C377589,1
2 43C379383,1
6B36C385099,1
2 01C368377,1
9 37C370148,1
9 37C395072,1
5F15C370872,1
3 43C372317,1
9 33C372698,1
5F54C390998,1
5F10C374839,1
8 33C392346,1
5F24C384385,1
5S34C372986,1
5S34C372987,1
3 40C375682,1
5R32C388128,1
4 19C393251,1
5F54C385330,1
8 36C391231,1
8 36C391230,1
8 36C391233,1
2 43C378161,1
5S34C370298,1
4 56C375824,1
9 37C375649,1
7 33C372995,1
8 33C388824,1
4 19W004903,1
5S03C386079,1
5S39W002929,1
9 37C394862,1
5S39W002923,1
5S39W002922,1
5F15W002418,1
5F15W002419,1
5F15C377060,1
5F15C373999,1
9 37C378371,1
9 37C378374,1
9 33C382429,1
5F24C385380,1
8 30C372900,1
3 42W003345,1
9 33W001312,1
5S51C380869,1
5F54C391649,1
7 13C385535,1
3 35C393902,1
4 19C387606,1
9 37C391944,1
9 37C373720,1
9 37C374117,1
9 37C373727,1
8 36C390541,1
5S34C374139,1
8 36C390548,1
5F15C372115,1
5F10C371516,1
5F15C372110,1
4 19C378574,1
2 01C380027,1
9 37C370915,1
2 01C382778,1
5S58C381473,1
3 42C386867,1
9 37C391992,1
3 43C369519,1
8 36C395078,1
8 30C370213,1
8 30C370219,1
5S39C384720,1
5S31C373525,1
5S07C387472,1
5F15W004979,1
5F15W004978,1
5F15C367656,1
4 19C390191,1
2 21C387155,1
5F15W004973,1
9 37C376215,1
5F15W004977,1
5F15W004976,1
5F24C375386,1
2 07W003529,1
4 19C359099,1
5S34C372471,1
4 19C394325,1
4 19W002534,1
4 19C394328,1
4 19W002531,1
5R04W004970,1
6B19C390202,1
9 37C375270,1
9 37C380365,1
5F15C370217,1
5F15C375784,2
1 23C390020,1
8 36C358837,1
2 01C386859,1
8 36C368362,1
5F10C382641,1
6B36C384277,1
2 01C383828,1
5F10C369464,1
2 01C386850,1
2 01C386852,1
2 48C366693,1
8 36C391797,1
3 40C377797,1
5S34C370934,1
9 37C392712,1
2 01C381083,1
9 33C364022,1
2 43W003660,1
9 37C384060,1
2 07C383370,1
2 07C383372,1
7 33C391536,1
7 33C391535,1
2 43C388595,1
8 30C381463,1
8 33C380938,1
2 01C385503,1
8 33C380935,1
8 33C380934,1
4 56C368493,1
8 33C380932,1
6B36C372069,1
9 37C374582,1
2 28C368545,1
6A31C386950,1
5S39W005004,1
4 19C389284,1
5S39W005001,1
5R45C369736,1
5S31C375039,1
2 43C388048,1
6B36C360038,1
2 43C388047,1
8 36C382817,1
5S48C380789,1
5F15W002312,1
8 36C382813,1
8 36C382812,1
5R52W002881,1
2 07C369832,1
9 37C395296,1
5F10C380649,1
3 40C372946,1
8 33C393159,1
5F10C380643,1
6B15C365607,1
5S34C365486,1
2 48C372717,1
5F10C385693,1
5F10C385692,1
4 56C381319,1
9 37C381256,1
9 37C381257,1
5F10C377805,1
4 19C378758,1
2 01C380846,1
5S31C380322,1
8 33C373838,1
9 33C380140,1
2 28C375775,1
5S50C373924,1
7 13W003481,1
5S31C395121,1
8 33C385782,1
5S31C392473,1
4 19C368521,1
9 37C388036,1
5F10C385968,1
2 07C392005,1
5S34C376548,1
4 56C386090,1
2 43C368953,1
2 43C390226,1
5S39C394446,1
9 37C379188,1
5F15W003403,1
9 37C379181,1
5S50C395211,1
5S50W002892,1
9 37C393433,1
5S50W002897,1
5S50W002899,1
3 42C373527,1
4 19W005150,1
5F10C395067,1
5F10C395064,1
5S51C379838,1
8 33C368978,1
4 19C379400,1
9 37C382782,1
3 40C392355,1
6B19W004665,1
5S57C381051,1
5F16C371879,3
8 33C371712,1
8 36W004835,1
4 19C366008,1
2 01C370286,1
2 43C369106,1
9 37C383788,1
5S39C388674,1
9 37C383785,1
9 37C383786,1
5F20C360492,1
9 37C383781,1
9 33C388107,1
5S03C377469,1
1 23W003252,1
1 23C383649,1
6B15C363125,1
8 33C381942,1
8 30C368754,1
9 37C389630,1
8 33C390694,1
2 01C377886,1
5F54C371580,1
5S31C384833,1
5S07C370614,1
9 37C376720,1
9 37C380041,1
3 43C381320,1
3 35C388584,1
5R52C372941,1
2 48C370828,1
8 33C390522,1
2 38C379322,1
5S58W004620,1
4 19C384492,1
4 19C384494,1
3 27C383728,1
4 19C384496,1
5F10C377523,1
5S34W003151,1
5S34W003153,1
8 36C371294,1
8 33C372164,1
5S58C381738,1
4 19C377782,1
2 43C380385,1
5F10C390601,1
4 19C388487,1
1 47C391420,1
9 30C381644,1
8 30C371007,1
3 43C365714,1
5F22C390592,1
2 41C387991,1
4 19C374787,1
2 01C362437,1
4 19C374782,2
5F16C381610,1
5F15C385962,1
4 19C388945,1
3 44C374252,1
5R45C379406,1
8 30C377335,1
5S07W004462,1
4 19C383141,1
5S57C374702,1
5S09C387003,1
4 19C370940,1
8 33C392582,1
4 19C370946,1
5F10C391957,1
5S39C388909,1
2 21C394274,1
7 33C385815,1
5S34C384189,1
5F54C385538,1
5S58C376495,1
2 48C373032,1
8 33C367646,1
8 33C367647,1
9 37C366854,1
2 43C378366,1
2 01C376919,1
1 47C370270,1
8 36C370657,1
