application_id,occurences
2 49CN604288,1
5F15C357283,1
5S09CN606196,1
5R32C347497,1
8 36CN603623,1
8 36CN603622,1
2 49CN604293,1
9 37CN605393,1
4 19CN604522,1
9 37CN605427,1
9 37CN603690,1
3 44C310305,1
2 43CN605968,1
4 19CN603062,1
5S09C310415,1
2 49CN604326,1
4 19CN604458,1
6B36C355577,1
5S31CN605530,1
5F16C329715,1
4 19CN603524,1
2 49CN604292,1
4 19CN605986,1
2 49CN604305,1
9 37CN604544,1
1 49CN604307,1
9 37CN607056,1
2 01CN603349,1
9 33CN604070,1
2 49CN604329,1
2 38C314531,1
1 47C354444,1
2 28CN603873,1
4 19CN604808,1
2 07CN603341,1
2 49CN604352,1
2 38CN603968,1
2 49CN604350,1
2 49CN604351,1
1 23CN602948,1
2 01CN605914,1
4 19CN603975,1
9 37CN603687,1
9 37CN603686,1
2 48CN604335,1
4 19C322799,1
4 19CN603770,1
9 33C334038,1
9 37CN603689,1
9 37CN603688,1
6B36C354180,1
4 19CN603667,1
2 49CN604308,1
4 19CN602911,1
2 49CN604280,1
2 49CN604283,1
2 49CN604284,1
2 49CN604285,1
2 49CN604286,1
2 49CN604287,1
1 49CN604311,1
5S31CN605999,1
5S31CN606359,1
2 01CN603358,1
5S03C304706,1
2 49CN604344,1
2 49CN604347,1
2 49CN604297,1
4 19CN604830,1
2 49CN604349,1
2 49CN604348,1
1 49CN603152,1
9 37CN605920,1
9 37CN605921,1
2 38C355130,1
2 49CN604276,1
5F10C335406,1
9 33CN605982,1
2 49CN604271,1
9 33C338115,1
5S31CN603668,1
4 19CN606133,1
5R04CN602905,1
2 49CN604298,1
9 37CN607155,1
5S51CN603440,1
5F10C333679,1
4 19CN603679,1
5R45C352645,1
2 49CN604291,1
2 49CN604290,1
9 37CN603971,1
2 49CN604296,1
2 49CN604295,1
9 37CN603972,1
5S39C352824,1
9 33C319293,1
8 33CN603610,1
4 56CN604742,1
9 37CN607238,1
9 37CN604681,1
5S31CN604061,1
5R04CN602980,1
2 49CN604330,1
2 49CN604331,1
2 49CN604332,1
2 48CN604294,1
2 49CN604334,1
2 49CN604336,1
2 49CN604337,1
2 48CN603340,1
2 38C331352,1
1 43CN603359,1
5S09CN604823,1
5S57C301296,1
8 33CN600489,1
9 33CN604029,1
9 33CN605395,1
2 49CN604333,1
9 37CN603969,1
9 37CN603026,1
9 37CN603901,1
4 19CN605339,1
5S31CN605384,1
5S31CN605919,1
4 19CN606037,1
5S31CN604740,1
5S31CN604813,1
2 41CN603353,1
2 41CN603352,1
2 41CN603351,1
2 41CN603350,1
2 49CN604323,1
2 49CN604322,1
2 49CN604321,1
2 49CN604320,1
2 49CN604327,1
9 33CN604020,1
2 49CN604325,1
2 49CN604324,1
4 19C300131,1
2 49CN604328,1
2 48CN604342,1
2 49CN604353,1
9 37CN603443,1
2 49CN604346,1
5S50CN606011,1
1 49CN602954,1
5S34C358241,1
5F10CN603527,1
5R45CN606134,1
2 01CN605461,1
5S50C352586,1
3 42C345413,1
5R45CN606132,1
5S31CN605998,1
4 19C322802,1
4 19C322801,1
8 33CN603027,1
5S31CN605566,1
5S58CN605962,1
4 19CN603611,1
1 49CN604345,1
5S31CN605907,1
2 43CN603365,1
2 43CN603366,1
2 43CN603367,1
1 47CN603022,1
8 33CN605917,1
5S31CN604803,1
2 49CN604259,1
2 49CN604258,1
2 49CN604257,1
2 49CN604256,1
2 49CN604255,1
8 36C357436,1
2 49CN604253,1
2 49CN604252,1
2 49CN604251,1
5S31CN604738,1
5S34CN604624,1
8 33C357219,1
5S31CN605567,1
2 49CN604299,1
5F16CN604651,1
5F16CN604652,1
2 38C314672,1
9 37CN603641,1
5F15C354026,1
5S51CN603987,1
9 37CN604549,1
9 37CN603649,1
5S31CN604975,1
9 37CN604103,1
4 19CN605544,1
5S29CN605905,1
5S39CN604584,1
3 40CN603058,1
4 56CN607228,1
2 43CN605916,1
8 30C355286,1
4 19CN605967,1
2 49CN604268,1
5S09CN605545,1
2 48CN605913,1
2 49CN604262,1
2 49CN604263,1
2 49CN604261,1
2 49CN604266,1
2 49CN604267,1
2 49CN604264,1
2 49CN604265,1
2 07CN603728,1
4 19CN603120,1
5R52CN606206,1
5S50CN604829,1
2 28CN605546,1
8 30CN604127,1
5S31CN605899,1
9 33CN604118,1
4 19CN603677,1
3 42CN603986,1
4 19CN607146,1
5S39CN606144,1
2 49CN604289,1
2 48CN604304,1
4 19CN605966,1
5S05CN607046,1
1 12C358547,1
4 19CN603880,1
9 37C354705,1
9 37CN604405,1
2 49CN604318,1
2 49CN604319,1
2 49CN604316,1
2 49CN604317,1
2 49CN604315,1
5S03C356929,1
2 49CN604310,1
2 49CN604275,1
5S31CN605697,1
2 49CN604277,1
2 49CN604254,1
5S29C355402,1
2 49CN604270,1
2 49CN604273,1
2 49CN604272,1
6B19C330761,1
9 37CN606950,1
5S34CN604815,1
8 36CN603633,1
2 49CN604279,1
2 49CN604278,1
2 48CN604343,1
5R04CN602970,1
4 19C301911,1
5S31CN605434,1
4 19CN604804,1
4 19CN606005,1
2 43CN605623,1
5F24C351817,1
4 56CN602915,1
2 48C358146,1
9 37C320021,1
4 19CN603645,1
4 19CN603646,1
8 36CN605862,1
2 49CN604309,1
4 19CN603551,1
4 19CN603552,1
9 37CN604793,1
5S09CN605869,1
2 43CN603354,1
4 19CN607164,1
5S03C312895,1
2 49CN604301,1
2 49CN604300,1
2 49CN604303,1
2 49CN604302,1
2 01CN603339,1
2 43CN604807,1
SB49CN604269,1
2 49CN604306,1
